year,Population,council,waste_pp,garbage_pp,recycle_pp,organic_pp,collect_type,amount,diversion_rate
2002,20207,Colac Otway Shire Council,0.23484931,0.138565844,0.050259811,0.046023655,plastic_collect,0,0.409979771
2002,20207,Colac Otway Shire Council,0.23484931,0.138565844,0.050259811,0.046023655,total_glass_collect,0,0.409979771
2002,16675,Corangamite Shire Council,0.209655172,0.129535232,0.03814093,0.04197901,total_garbage_collect,2160,0.38215103
2002,16675,Corangamite Shire Council,0.209655172,0.129535232,0.03814093,0.04197901,total_recycle_actual,585,0.38215103
2002,16675,Corangamite Shire Council,0.209655172,0.129535232,0.03814093,0.04197901,organic_collect,700,0.38215103
2002,16675,Corangamite Shire Council,0.209655172,0.129535232,0.03814093,0.04197901,aluminium_collect,0,0.38215103
2002,16675,Corangamite Shire Council,0.209655172,0.129535232,0.03814093,0.04197901,steel_collect,0,0.38215103
2002,16675,Corangamite Shire Council,0.209655172,0.129535232,0.03814093,0.04197901,paper_collect,305,0.38215103
2002,16675,Corangamite Shire Council,0.209655172,0.129535232,0.03814093,0.04197901,plastic_collect,140,0.38215103
2002,16675,Corangamite Shire Council,0.209655172,0.129535232,0.03814093,0.04197901,total_glass_collect,140,0.38215103
2002,131000,Darebin City Council,0.327961832,0.207480916,0.080801527,0.039679389,total_garbage_collect,27180,0.367362614
2002,131000,Darebin City Council,0.327961832,0.207480916,0.080801527,0.039679389,total_recycle_actual,10271,0.367362614
2002,131000,Darebin City Council,0.327961832,0.207480916,0.080801527,0.039679389,organic_collect,5198,0.367362614
2002,131000,Darebin City Council,0.327961832,0.207480916,0.080801527,0.039679389,aluminium_collect,202,0.367362614
2002,131000,Darebin City Council,0.327961832,0.207480916,0.080801527,0.039679389,steel_collect,558,0.367362614
2002,131000,Darebin City Council,0.327961832,0.207480916,0.080801527,0.039679389,paper_collect,5634,0.367362614
2002,131000,Darebin City Council,0.327961832,0.207480916,0.080801527,0.039679389,plastic_collect,1034,0.367362614
2002,131000,Darebin City Council,0.327961832,0.207480916,0.080801527,0.039679389,total_glass_collect,2843,0.367362614
2002,40000,East Gippsland Shire Council,0.2683575,0.2125825,0.055775,0,total_garbage_collect,8503.3,0.207838424
2002,40000,East Gippsland Shire Council,0.2683575,0.2125825,0.055775,0,total_recycle_actual,1775,0.207838424
2002,40000,East Gippsland Shire Council,0.2683575,0.2125825,0.055775,0,organic_collect,0,0.207838424
2002,40000,East Gippsland Shire Council,0.2683575,0.2125825,0.055775,0,aluminium_collect,30,0.207838424
2002,40000,East Gippsland Shire Council,0.2683575,0.2125825,0.055775,0,steel_collect,10,0.207838424
2002,40000,East Gippsland Shire Council,0.2683575,0.2125825,0.055775,0,paper_collect,1100,0.207838424
2002,40000,East Gippsland Shire Council,0.2683575,0.2125825,0.055775,0,plastic_collect,85,0.207838424
2002,40000,East Gippsland Shire Council,0.2683575,0.2125825,0.055775,0,total_glass_collect,550,0.207838424
2002,115203,Frankston City Council,0.237077159,0.160542694,0.076534465,0,total_garbage_collect,18495,0.322825132
2002,115203,Frankston City Council,0.237077159,0.160542694,0.076534465,0,total_recycle_actual,6980,0.322825132
2002,115203,Frankston City Council,0.237077159,0.160542694,0.076534465,0,organic_collect,0,0.322825132
2002,115203,Frankston City Council,0.237077159,0.160542694,0.076534465,0,aluminium_collect,65,0.322825132
2002,115203,Frankston City Council,0.237077159,0.160542694,0.076534465,0,steel_collect,304,0.322825132
2002,115203,Frankston City Council,0.237077159,0.160542694,0.076534465,0,paper_collect,3965,0.322825132
2002,115203,Frankston City Council,0.237077159,0.160542694,0.076534465,0,plastic_collect,562,0.322825132
2002,115203,Frankston City Council,0.237077159,0.160542694,0.076534465,0,total_glass_collect,2084,0.322825132
2002,12067,Gannawarra Shire Council,0.303720892,0.204276125,0.099444767,0,total_garbage_collect,2465,0.327421555
2002,12067,Gannawarra Shire Council,0.303720892,0.204276125,0.099444767,0,total_recycle_actual,0,0.327421555
2002,12067,Gannawarra Shire Council,0.303720892,0.204276125,0.099444767,0,organic_collect,0,0.327421555
2002,12067,Gannawarra Shire Council,0.303720892,0.204276125,0.099444767,0,aluminium_collect,0,0.327421555
2002,12067,Gannawarra Shire Council,0.303720892,0.204276125,0.099444767,0,steel_collect,0,0.327421555
2002,12067,Gannawarra Shire Council,0.303720892,0.204276125,0.099444767,0,paper_collect,0,0.327421555
2002,12067,Gannawarra Shire Council,0.303720892,0.204276125,0.099444767,0,plastic_collect,0,0.327421555
2002,12067,Gannawarra Shire Council,0.303720892,0.204276125,0.099444767,0,total_glass_collect,0,0.327421555
2002,118000,Glen Eira City Council,0.436728814,0.349567797,0.065974576,0.021186441,total_garbage_collect,41249,0.199576978
2002,118000,Glen Eira City Council,0.436728814,0.349567797,0.065974576,0.021186441,total_recycle_actual,7696,0.199576978
2002,118000,Glen Eira City Council,0.436728814,0.349567797,0.065974576,0.021186441,organic_collect,2500,0.199576978
2002,118000,Glen Eira City Council,0.436728814,0.349567797,0.065974576,0.021186441,aluminium_collect,52,0.199576978
2002,118000,Glen Eira City Council,0.436728814,0.349567797,0.065974576,0.021186441,steel_collect,195,0.199576978
2002,118000,Glen Eira City Council,0.436728814,0.349567797,0.065974576,0.021186441,paper_collect,3924,0.199576978
2002,118000,Glen Eira City Council,0.436728814,0.349567797,0.065974576,0.021186441,plastic_collect,463,0.199576978
2002,118000,Glen Eira City Council,0.436728814,0.349567797,0.065974576,0.021186441,total_glass_collect,3062,0.199576978
2002,20700,Glenelg Shire Council,0.113594203,0.075913043,0.037681159,0,total_garbage_collect,1571.4,0.331717275
2002,20700,Glenelg Shire Council,0.113594203,0.075913043,0.037681159,0,total_recycle_actual,495,0.331717275
2002,20700,Glenelg Shire Council,0.113594203,0.075913043,0.037681159,0,organic_collect,0,0.331717275
2002,20700,Glenelg Shire Council,0.113594203,0.075913043,0.037681159,0,aluminium_collect,16,0.331717275
2002,20700,Glenelg Shire Council,0.113594203,0.075913043,0.037681159,0,steel_collect,29,0.331717275
2002,20700,Glenelg Shire Council,0.113594203,0.075913043,0.037681159,0,paper_collect,290,0.331717275
2002,20700,Glenelg Shire Council,0.113594203,0.075913043,0.037681159,0,plastic_collect,52,0.331717275
2002,20700,Glenelg Shire Council,0.113594203,0.075913043,0.037681159,0,total_glass_collect,108,0.331717275
2002,87600,Greater Bendigo City Council,0.338207763,0.297659817,0.040547945,0,total_garbage_collect,26075,0.11989064
2002,87600,Greater Bendigo City Council,0.338207763,0.297659817,0.040547945,0,total_recycle_actual,3367,0.11989064
2002,87600,Greater Bendigo City Council,0.338207763,0.297659817,0.040547945,0,organic_collect,0,0.11989064
2002,87600,Greater Bendigo City Council,0.338207763,0.297659817,0.040547945,0,aluminium_collect,37,0.11989064
2002,87600,Greater Bendigo City Council,0.338207763,0.297659817,0.040547945,0,steel_collect,96,0.11989064
2002,87600,Greater Bendigo City Council,0.338207763,0.297659817,0.040547945,0,paper_collect,1965,0.11989064
2002,87600,Greater Bendigo City Council,0.338207763,0.297659817,0.040547945,0,plastic_collect,244,0.11989064
2002,87600,Greater Bendigo City Council,0.338207763,0.297659817,0.040547945,0,total_glass_collect,1025,0.11989064
2002,130000,Greater Dandenong City Council,0.333811077,0.244784615,0.086084615,0.002941846,total_garbage_collect,31822,0.266697146
