street_name,council_name,green_frequency,green_next,landfill_frequency,landfill_next,recycle_frequency,recycle_next
Ogilvie Court,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Marrone Boulevard,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Flemington Way,Clyde North,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Tristram Rise,Clyde North,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Cloverbank Drive,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Canmore Street,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Biferno Crescent,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Xavier Way,Clyde North,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Chancery Lane,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Hibernia Driveway Link,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Hibernia Place,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Artfield Street,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Lockbank Place,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Rannoch Street,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Gawler Way,Clyde North,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Dunstan Street,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Elwick Drive,Clyde North,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Shiels Street,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
